Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Yesterday,Tomorrow,Label(Up/Down),Cumu_Label(Up/Down)
1980-12-15,0.09444842384215202,0.09444842384215202,0.09401717782020569,0.09401717782020569,175884800,0.0,0.0,0.09919210523366928,0.08711652457714081,0,-1
1980-12-16,0.08754776488370605,0.08754776488370605,0.08711652457714081,0.08711652457714081,105728000,0.0,0.0,0.09401717782020569,0.08927273005247116,1,0
1980-12-17,0.08927273005247116,0.08970397608053622,0.08927273005247116,0.08927273005247116,86441600,0.0,0.0,0.08711652457714081,0.09186096489429474,1,1
1980-12-18,0.09186096489429474,0.09229220515773147,0.09186096489429474,0.09186096489429474,73449600,0.0,0.0,0.08927273005247116,0.0974671021103859,1,2
1980-12-19,0.0974671021103859,0.09789834806554412,0.0974671021103859,0.0974671021103859,48630400,0.0,0.0,0.09186096489429474,0.10221080482006073,1,3
1980-12-22,0.10221080482006073,0.1026428224440256,0.10221080482006073,0.10221080482006073,37363200,0.0,0.0,0.0974671021103859,0.10652400553226471,1,4
1980-12-23,0.10652400553226471,0.10695525158604519,0.10652400553226471,0.10652400553226471,46950400,0.0,0.0,0.10221080482006073,0.11213014274835587,1,5
1980-12-24,0.11213014274835587,0.11256138869854766,0.11213014274835587,0.11213014274835587,48003200,0.0,0.0,0.10652400553226471,0.12248073518276215,1,6
1980-12-26,0.12248073518276215,0.12291198108768729,0.12248073518276215,0.12248073518276215,55574400,0.0,0.0,0.11213014274835587,0.12420571595430374,1,7
1980-12-29,0.12420571595430374,0.12463696188932447,0.12420571595430374,0.12420571595430374,93161600,0.0,0.0,0.12248073518276215,0.12118705362081528,0,0
1980-12-30,0.12161828816840946,0.12161828816840946,0.12118705362081526,0.12118705362081528,68880000,0.0,0.0,0.12420571595430374,0.11773712933063507,0,-1
1980-12-31,0.11816837547200618,0.11816837547200618,0.11773712933063507,0.11773712933063507,35750400,0.0,0.0,0.12118705362081528,0.11903082579374313,1,0
1981-01-02,0.11903082579374313,0.11989331785588345,0.11903082579374313,0.11903082579374313,21660800,0.0,0.0,0.11773712933063507,0.11644334346055984,0,0
1981-01-05,0.11687457786739823,0.11687457786739823,0.11644334346055984,0.11644334346055984,35728000,0.0,0.0,0.11903082579374313,0.11126769334077835,0,-1
1981-01-06,0.1116989394556618,0.1116989394556618,0.11126769334077836,0.11126769334077835,45158400,0.0,0.0,0.11644334346055984,0.10652400553226471,0,-2
1981-01-07,0.10695525158604519,0.10695525158604519,0.10652400553226471,0.10652400553226471,55686400,0.0,0.0,0.11126769334077835,0.10436778515577316,0,-3
1981-01-08,0.10479901963909015,0.10479901963909015,0.10436778515577316,0.10436778515577316,39827200,0.0,0.0,0.10652400553226471,0.10997394472360611,1,0
1981-01-09,0.10997394472360611,0.11040519075304851,0.10997394472360611,0.10997394472360611,21504000,0.0,0.0,0.10436778515577316,0.10911142826080322,0,0
1981-01-12,0.10997390851958441,0.10997390851958441,0.10911142826080322,0.10911142826080322,23699200,0.0,0.0,0.10997394472360611,0.10523026436567307,0,-1
1981-01-13,0.10566151035994305,0.10566151035994305,0.10523026436567307,0.10523026436567307,23049600,0.0,0.0,0.10911142826080322,0.10566150397062302,1,0
